Caso #,ID Proceso SECOP,Entidad Contratante,Departamento,Tipo de Contrato,Valor del Contrato (COP),Duracion (dias),Proveedor,Score de Riesgo (0-1),Analisis que lo detectan (de 3),Analisis A (%),Analisis B (%),Analisis C (%)
1,CO1.REQ.7355251,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL DE TUNJA,Boyacá,Prestación De Servicios,2800000000.0,7.0,UNION TEMPORAL ANGIOVASCULAR,0.952,3,85.6,100.0,100.0
2,CO1.REQ.6438216,CAPRESOCA E.P.S.,Casanare,Decreto 092 De 2017,5250000000.0,22.0,HOSPITAL REGIONAL DE LA ORINOQUIA EMPRESA SOCIAL DEL ESTADO,0.828,3,71.8,76.6,100.0
3,CO1.REQ.7719359,CAPRESOCA E.P.S.,Casanare,Decreto 092 De 2017,1017134122.0,322.0,EMPRESA SOCIAL DEL ESTADO SALUD YOPAL,0.808,3,82.6,60.0,99.9
4,CO1.REQ.5492550,Hospital Departamental Tomas Uribe Uribe ESE,Valle del Cauca,Decreto 092 De 2017,800000000.0,360.0,DIEGO FERNANDO NOREÑA FRANCO,0.737,3,69.4,51.8,100.0
5,CO1.REQ.1824967,EMPRESA SOCIAL DEL ESTADO DE SAN BENITO SANTANDER,Santander,Decreto 092 De 2017,1300000.0,318.0,INTERCLINICA AVA S.A.S,0.667,3,50.2,50.1,100.0
6,CO1.REQ.6919110,UNIVERSIDAD NACIONAL DE COLOMBIA,Distrito Capital de Bogotá,Decreto 092 De 2017,53433420301.0,720.0,COLSUBSIDIO,0.785,2,100.0,35.5,100.0
7,CO1.REQ.8218667,FUNDACION SALUDMIA EPS,No Definido,Prestación De Servicios,46054433388.0,365.0,FCV,0.785,2,99.9,35.5,100.0
8,CO1.REQ.7558157,GECELCA S.A. E.S.P.,Atlántico,Prestación De Servicios,19488243579.0,638.0,Colsanitas S.a.,0.761,2,100.0,28.3,100.0
9,CO1.REQ.9893879,COMPRADOR ESE CARMEN EMILIA OSPINA PERFIL,Huila,Prestación De Servicios,290290415.0,1800.0,UNION TEMPORAL SEGURA,0.759,2,100.0,27.7,100.0
10,CO1.REQ.9380512,UNIVERSIDAD DEL CAUCA,Cauca,Decreto 092 De 2017,150000000.0,324.0,CARDIOESPECIALIDADES LTDA,0.74,2,89.4,32.6,100.0
11,CO1.REQ.6203670,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ - E.S.P.,No Definido,Prestación De Servicios,2824535269.0,990.0,UNIMOS SALUD SAS,0.739,2,100.0,21.6,100.0
12,CO1.REQ.8189189,ADMINISTRADORA COLOMBIANA DE PENSIONES COLPENSIONES,Distrito Capital de Bogotá,Prestación De Servicios,183990550.0,600.0,EMERMEDICA SA SERVICIOS DE AMBULANCIA PREPAGADOS,0.734,2,99.8,20.5,100.0
13,CO1.REQ.9161392,CLÍNICA GIRÓN ESE,Santander,Decreto 092 De 2017,14971471388.0,720.0,GIROSALUD IPS SAS,0.731,2,98.6,20.8,100.0
14,CO1.REQ.9504211,E.S.E HOSPITAL UNIVERSITARIO SAN JORGE DE PEREIRA,Risaralda,Prestación De Servicios,12000000000.0,180.0,IMAGENES DIAGNOTICAS S.A.,0.727,2,99.8,18.7,99.8
15,CO1.REQ.7745198,Fideicomiso Fondo Nacional de Salud PPL,Distrito Capital de Bogotá,Decreto 092 De 2017,6678936000.0,376.0,UT PREMIER SALUD ERON VIEJO CALDAS,0.727,2,99.0,19.5,99.5
